"site_no","dateTime","Flow_Inst","Flow_Inst_cd","Wtemp_Inst","pH_Inst","DO_Inst"
"02203700",2011-05-20 16:45:00,4,"A e",NA,7,8.6
"02336410",2011-05-28 08:15:00,35,"A",21.8,6.9,6.9
"02203655",2011-05-22 09:30:00,7.8,"A",20.6,7,6.6
"02336240",2011-05-14 23:15:00,10,"X",22,7.3,7.8
"02336313",2011-05-22 12:00:00,1.3,"A",19.3,7.2,7.3
"02336728",2011-05-25 01:30:00,8.6,"X",24.2,7.1,7.3
"02203700",2011-05-09 10:30:00,4.9,"A",18,7.2,4.4
"02337170",2011-05-30 13:30:00,1350,"X",22.6,6.9,7.1
"02336313",2011-05-13 12:15:00,1,"A",20.4,7.2,7.1
"02337170",2011-05-18 23:15:00,4510,"A",13.5,6.9,10
"02336120",2011-05-08 15:45:00,17,"A e",17.6,7.2,8.7
"02336526",2011-05-11 11:30:00,4,"A",20.8,7,6.6
"02336728",2011-05-26 06:00:00,8.2,"X",22.4,7,7
"02337170",2011-05-07 08:00:00,5990,"E",14.1,6.8,10.1
"02336410",2011-05-10 04:15:00,19,"A",21.5,7,7.2
"02336360",2011-05-03 06:45:00,13,"A",20.6,7.1,7.3
"02336526",2011-05-05 23:15:00,5.5,"E",18.9,7.2,9.5
"02336526",2011-05-07 18:15:00,4.8,"A",NA,7.4,10.6
"02336526",2011-05-28 13:15:00,9.8,"A",19.8,7.1,7.9
"02336120",2011-05-26 12:45:00,8.9,"X",22.4,7.1,6.8
"02336300",2011-05-15 21:00:00,26,"A",19.2,7.6,8.6
"02336360",2011-05-15 00:00:00,11,"A",22.2,7.3,7.9
"02336120",2011-05-13 19:15:00,13,"A e",23.6,7.3,8.6
"02337170",2011-05-13 08:15:00,3380,"E",15.9,6.9,9.7
"02203655",2011-05-06 11:45:00,13,"A",14.6,7.2,8.2
"02336360",2011-05-24 07:45:00,9.1,"E",22.2,7.1,6.6
"02336300",2011-05-24 02:00:00,NA,"A e",24.4,7.4,7
"02336728",2011-05-14 06:45:00,12,"A",20.6,7.2,7.5
"02336728",2011-05-27 00:45:00,32,"A",23.1,6.9,7.4
"02336360",2011-05-19 21:30:00,10,"X",20,7.4,10.2
"02203700",2011-05-20 16:15:00,4,"E",19.4,7,8.2
"02337170",2011-05-16 19:00:00,1980,"X",17,7,8.9
"02336300",2011-05-11 05:15:00,30,"A",22.8,7.3,6.8
"02336526",2011-05-23 03:00:00,5.2,"A",24.4,8.6,7.6
"02203700",2011-05-19 08:30:00,4.2,"A",NA,6.8,5.4
"02336120",2011-05-12 10:15:00,14,"A e",21.6,7.2,7.1
"02336240",2011-05-05 04:30:00,19,"A",16.1,7,8.2
"02203655",2011-05-21 04:45:00,8.2,"A e",20.4,7,6.8
"02336120",2011-05-28 15:30:00,28,"A",21.8,6.8,7.3
"02336300",2011-05-08 03:15:00,33,"X",18.7,7.3,7.8
"02336728",2011-05-30 20:15:00,15,"X",26.4,NA,7.7
"02203700",2011-05-24 08:30:00,3.7,"X",21.4,6.8,4.3
"02336526",2011-05-13 07:45:00,3.6,"E",22.4,7.2,6.1
"02203700",2011-05-03 09:15:00,6.1,"E",19.2,7.1,6.2
"02336240",2011-05-09 06:00:00,12,"X",18.7,7.2,7.6
"02336300",2011-05-15 23:15:00,27,"A",18.8,7.6,8.3
"02203700",2011-05-25 03:15:00,3.7,"A",23.5,6.8,4.4
"02203655",2011-05-03 11:00:00,11,"A e",19.5,7.1,6.7
"02336240",2011-05-07 23:15:00,13,"E",19.1,7.2,8.2
"02336313",2011-05-17 04:30:00,1.2,"A",16.2,7.2,7.2
"02203700",2011-05-09 08:15:00,4.9,"A e",18.7,7.2,3.9
"02203655",2011-05-05 14:15:00,15,"A",14.3,7.1,8.3
"02336313",2011-05-10 22:15:00,0.98,"A",24.9,7.2,7.5
"02336120",2011-05-07 03:30:00,18,"E",17.4,7,8.3
"02336240",2011-06-01 02:00:00,11,"A e",25.2,7,6.7
"02336120",2011-05-08 10:45:00,17,"X",17,7.2,8.2
"02337170",2011-05-07 12:45:00,5430,"A",13.8,6.8,9.8
"02336240",2011-05-24 13:15:00,8.5,"E",21.1,7.2,7.3
"02336240",2011-05-27 09:15:00,2310,"X",19.5,NA,8.5
"02336313",2011-05-20 20:45:00,0.98,"A",22.2,7.2,8
"02337170",2011-05-26 07:30:00,1760,"X",20.1,7,8.5
"02336410",2011-05-05 21:00:00,28,"A",NA,7.1,8.9
"02336313",2011-05-31 01:30:00,0.69,"A",25.7,7.3,5.6
"02336300",2011-05-08 01:00:00,34,"X",19.2,7.3,8
"02336526",2011-05-27 03:00:00,102,"A",21.3,6.7,7.5
"02336526",2011-05-14 22:15:00,3.8,"A",23.6,8.1,10.9
"02336300",2011-05-25 08:00:00,20,"A",22.9,7.3,6.4
"02203655",2011-05-31 08:45:00,9.2,"A",23.7,7.3,6.1
"02336240",2011-05-01 09:30:00,13,"A",17.7,7.2,7.7
"02336120",2011-05-23 23:00:00,11,"A e",24.7,7.3,7.8
"02336728",2011-05-04 00:15:00,129,"A",18.6,7,8.8
"02336360",2011-05-11 07:00:00,12,"A e",22.2,7,6.9
"02336410",2011-05-08 07:45:00,22,"A",17.8,7,8.1
"02336120",2011-06-01 00:45:00,12,"A",26.4,7,7
"02336360",2011-05-03 19:15:00,14,"A e",22.4,7.2,8.7
"02336360",2011-05-24 06:00:00,9.1,"A e",22.6,7.1,6.6
"02203700",2011-05-11 03:15:00,4.9,"A e",23.4,7.4,3.6
"02203700",2011-05-05 07:30:00,22,"A e",16.4,6.6,7.2
