"site_no","dateTime","Flow","Flow_cd","Wtemp","pH","DO","Wtemp_F"
"02203700","2011-05-20 16:45:00",4,"A e",NA,7,8.6,NA
"02336410","2011-05-28 08:15:00",35,"A",21.8,6.9,6.9,71.24
"02203655","2011-05-22 09:30:00",7.8,"A",20.6,7,6.6,69.08
"02336313","2011-05-22 12:00:00",1.3,"A",19.3,7.2,7.3,66.74
"02203700","2011-05-09 10:30:00",4.9,"A",18,7.2,4.4,64.4
"02336313","2011-05-13 12:15:00",1,"A",20.4,7.2,7.1,68.72
"02337170","2011-05-18 23:15:00",4510,"A",13.5,6.9,10,56.3
"02336120","2011-05-08 15:45:00",17,"A e",17.6,7.2,8.7,63.68
"02336526","2011-05-11 11:30:00",4,"A",20.8,7,6.6,69.44
"02336410","2011-05-10 04:15:00",19,"A",21.5,7,7.2,70.7
"02336360","2011-05-03 06:45:00",13,"A",20.6,7.1,7.3,69.08
"02336526","2011-05-07 18:15:00",4.8,"A",NA,7.4,10.6,NA
"02336526","2011-05-28 13:15:00",9.8,"A",19.8,7.1,7.9,67.64
"02336300","2011-05-15 21:00:00",26,"A",19.2,7.6,8.6,66.56
"02336360","2011-05-15 00:00:00",11,"A",22.2,7.3,7.9,71.96
"02336120","2011-05-13 19:15:00",13,"A e",23.6,7.3,8.6,74.48
"02203655","2011-05-06 11:45:00",13,"A",14.6,7.2,8.2,58.28
"02336728","2011-05-14 06:45:00",12,"A",20.6,7.2,7.5,69.08
"02336728","2011-05-27 00:45:00",32,"A",23.1,6.9,7.4,73.58
"02336300","2011-05-11 05:15:00",30,"A",22.8,7.3,6.8,73.04
"02336526","2011-05-23 03:00:00",5.2,"A",24.4,8.6,7.6,75.92
"02203700","2011-05-19 08:30:00",4.2,"A",NA,6.8,5.4,NA
"02336120","2011-05-12 10:15:00",14,"A e",21.6,7.2,7.1,70.88
"02336240","2011-05-05 04:30:00",19,"A",16.1,7,8.2,60.98
"02203655","2011-05-21 04:45:00",8.2,"A e",20.4,7,6.8,68.72
"02336120","2011-05-28 15:30:00",28,"A",21.8,6.8,7.3,71.24
"02336300","2011-05-15 23:15:00",27,"A",18.8,7.6,8.3,65.84
"02203700","2011-05-25 03:15:00",3.7,"A",23.5,6.8,4.4,74.3
"02203655","2011-05-03 11:00:00",11,"A e",19.5,7.1,6.7,67.1
"02336313","2011-05-17 04:30:00",1.2,"A",16.2,7.2,7.2,61.16
"02203700","2011-05-09 08:15:00",4.9,"A e",18.7,7.2,3.9,65.66
"02203655","2011-05-05 14:15:00",15,"A",14.3,7.1,8.3,57.74
"02336313","2011-05-10 22:15:00",0.98,"A",24.9,7.2,7.5,76.82
"02336240","2011-06-01 02:00:00",11,"A e",25.2,7,6.7,77.36
"02337170","2011-05-07 12:45:00",5430,"A",13.8,6.8,9.8,56.84
"02336313","2011-05-20 20:45:00",0.98,"A",22.2,7.2,8,71.96
"02336410","2011-05-05 21:00:00",28,"A",NA,7.1,8.9,NA
"02336313","2011-05-31 01:30:00",0.69,"A",25.7,7.3,5.6,78.26
"02336526","2011-05-27 03:00:00",102,"A",21.3,6.7,7.5,70.34
"02336526","2011-05-14 22:15:00",3.8,"A",23.6,8.1,10.9,74.48
"02336300","2011-05-25 08:00:00",20,"A",22.9,7.3,6.4,73.22
"02203655","2011-05-31 08:45:00",9.2,"A",23.7,7.3,6.1,74.66
"02336240","2011-05-01 09:30:00",13,"A",17.7,7.2,7.7,63.86
"02336120","2011-05-23 23:00:00",11,"A e",24.7,7.3,7.8,76.46
"02336728","2011-05-04 00:15:00",129,"A",18.6,7,8.8,65.48
"02336360","2011-05-11 07:00:00",12,"A e",22.2,7,6.9,71.96
"02336410","2011-05-08 07:45:00",22,"A",17.8,7,8.1,64.04
"02336120","2011-06-01 00:45:00",12,"A",26.4,7,7,79.52
"02336360","2011-05-03 19:15:00",14,"A e",22.4,7.2,8.7,72.32
"02336360","2011-05-24 06:00:00",9.1,"A e",22.6,7.1,6.6,72.68
"02203700","2011-05-11 03:15:00",4.9,"A e",23.4,7.4,3.6,74.12
"02203700","2011-05-05 07:30:00",22,"A e",16.4,6.6,7.2,61.52
"02203655","2011-05-31 17:45:00",10,"A",23.6,7.3,7,74.48
"02336313","2011-05-14 09:15:00",0.98,"A",20.6,7.2,6.6,69.08
"02203655","2011-05-24 21:00:00",7.8,"A e",23.1,7,7.1,73.58
"02336313","2011-05-31 03:45:00",0.69,"A",24.8,7.4,5.4,76.64
"02336313","2011-05-15 12:00:00",1,"A",18,7.2,7,64.4
"02336360","2011-05-05 10:00:00",18,"A",15.6,6.9,8.3,60.08
"02336360","2011-05-13 17:30:00",11,"A",23.1,7.3,9,73.58
"02336300","2011-05-23 23:15:00",21,"A",25.6,7.5,8.1,78.08
"02337170","2011-05-05 01:45:00",6930,"A",14.6,6.7,9.8,58.28
"02203655","2011-05-22 14:00:00",8.2,"A",19.9,7,7.1,67.82
"02336240","2011-05-30 12:45:00",12,"A",22.2,7,7.2,71.96
"02203700","2011-05-21 19:00:00",3.9,"A",23.6,7,9.2,74.48
"02336410","2011-05-29 08:00:00",19,"A",22.7,7,6.5,72.86
"02336526","2011-05-25 20:00:00",2.8,"A",25,8.6,11.8,77
"02336240","2011-05-08 18:45:00",12,"A",20.3,7.3,9,68.54
"02203655","2011-05-23 23:15:00",8.2,"A",22.9,7,6.8,73.22
"02336526","2011-05-03 18:15:00",4,"A e",22.7,7.2,NA,72.86
"02336240","2011-05-10 18:45:00",12,"A",24.2,7.3,8.9,75.56
"02336300","2011-05-16 04:45:00",26,"A e",17.7,7.5,7.6,63.86
"02336360","2011-05-06 07:00:00",15,"A",16.1,7,8.2,60.98
"02336526","2011-05-02 03:45:00",4.2,"A",21.6,7.1,6.9,70.88
"02336240","2011-05-19 12:15:00",9.9,"A e",14.2,7.3,8.8,57.56
"02336240","2011-05-24 13:30:00",8.5,"A",21.2,NA,7.4,70.16
"02203700","2011-05-15 06:45:00",4.4,"A",19.6,6.9,4.5,67.28
"02336360","2011-05-28 18:00:00",11,"A",23.9,7,7.5,75.02
"02203655","2011-05-29 20:15:00",12,"A",22.8,6.7,7.2,73.04
"02336313","2011-05-12 22:30:00",1,"A",25.4,7.2,7,77.72
"02336728","2011-05-24 19:45:00",8.9,"A",25.2,7.3,9,77.36
"02336360","2011-05-10 03:30:00",12,"A e",21.6,7,7.4,70.88
"02336526","2011-05-05 13:30:00",5.7,"A",13.3,7,9,55.94
"02336120","2011-05-26 02:45:00",11,"A",24.6,7.1,NA,76.28
"02336240","2011-05-07 10:15:00",13,"A",15.2,7.2,8.4,59.36
"02336728","2011-05-29 23:45:00",18,"A e",24.2,7,7.4,75.56
"02336728","2011-05-13 19:45:00",12,"A",24.4,7.3,8.4,75.92
"02203700","2011-05-19 20:45:00",4,"A",21.4,7,9.8,70.52
"02336410","2011-05-21 08:15:00",14,"A",19.6,7.2,7.6,67.28
"02336410","2011-05-11 14:00:00",18,"A",21.5,7.1,7.6,70.7
"02336410","2011-05-12 04:00:00",17,"A",23.4,7.1,6.9,74.12
"02337170","2011-05-24 18:15:00",2900,"A",20.2,6.9,8.7,68.36
"02203700","2011-05-01 12:30:00",6.1,"A",16.8,7,7.3,62.24
"02336120","2011-05-27 16:45:00",191,"A",20.9,6.3,7.2,69.62
"02336360","2011-05-29 23:45:00",7.5,"A e",25.2,7,7.1,77.36
"02203700","2011-05-02 10:15:00",5.8,"A",18.5,7,6.4,65.3
"02336526","2011-05-19 08:15:00",3.6,"A",15.4,7.7,8.2,59.72
"02337170","2011-05-28 16:30:00",2360,"A",20.6,6.8,7.6,69.08
"02336120","2011-05-02 07:45:00",16,"A",19.6,7.1,7.6,67.28
"02336313","2011-05-02 06:30:00",1,"A",19.8,7,6.2,67.64
"02336120","2011-05-23 02:15:00",11,"A",23.9,7.2,7,75.02
"02336240","2011-05-30 14:45:00",11,"A",22.9,7,7.4,73.22
"02336360","2011-05-28 17:30:00",11,"A",23.5,7,7.4,74.3
"02337170","2011-05-26 03:45:00",1730,"A e",20.5,7,NA,68.9
"02203700","2011-05-03 11:00:00",6.1,"A",18.8,7.1,6.3,65.84
"02336360","2011-05-26 01:30:00",8.4,"A",24.7,NA,6.8,76.46
"02336120","2011-05-03 03:15:00",16,"A e",21.2,7.1,7.5,70.16
"02336313","2011-05-02 21:00:00",1,"A",23.2,7.1,7.5,73.76
"02336120","2011-05-01 13:45:00",18,"A",18.1,NA,NA,64.58
"02336120","2011-05-10 03:00:00",16,"A",21.5,7.2,7.7,70.7
"02336526","2011-05-17 04:00:00",5.9,"A",17.3,7.7,8.3,63.14
"02336410","2011-05-05 15:15:00",32,"A e",15,7,8.9,59
"02336240","2011-05-03 00:30:00",13,"A",21.3,7.2,7.5,70.34
"02337170","2011-05-13 15:45:00",3080,"A",16.6,6.9,9.3,61.88
"02336313","2011-05-19 13:45:00",1,"A",14.9,7.2,8.4,58.82
"02336728","2011-05-16 20:00:00",12,"A",18.1,7.2,9.4,64.58
"02336410","2011-05-28 05:45:00",40,"A",22.4,6.9,6.9,72.32
"02336360","2011-05-03 11:30:00",13,"A",19.9,7.1,7.4,67.82
"02203655","2011-05-31 02:15:00",9.2,"A",24.9,7,6.1,76.82
"02336313","2011-05-05 17:30:00",1.3,"A",17.2,7.1,9.4,62.96
"02336728","2011-05-26 00:45:00",8.6,"A e",24.9,7.2,7.3,76.82
"02336360","2011-05-27 03:30:00",244,"A e",22.4,6.6,6.7,72.32
"02336313","2011-05-31 07:45:00",0.73,"A",23.3,7.4,5.4,73.94
"02337170","2011-05-14 05:00:00",4700,"A",14.5,6.8,10,58.1
"02336526","2011-05-15 08:45:00",3.6,"A e",20,7.2,6.6,68
"02337170","2011-05-10 19:45:00",3850,"A",NA,6.8,8.2,NA
"02336410","2011-05-04 05:15:00",333,"A",18.6,6.6,7.5,65.48
"02336300","2011-05-24 07:45:00",21,"A",22.7,7.3,6.4,72.86
"02336410","2011-05-08 06:15:00",22,"A",18,7,7.9,64.4
"02336120","2011-05-19 18:45:00",12,"A",17.9,7.3,9.3,64.22
"02337170","2011-05-24 02:00:00",2090,"A e",21.2,6.9,8.3,70.16
"02336728","2011-05-21 06:30:00",9.7,"A",NA,7.1,8,NA
"02336313","2011-05-08 05:00:00",1,"A",17.8,NA,7.5,64.04
"02203655","2011-05-04 18:45:00",26,"A",17.9,NA,7.9,64.22
"02336526","2011-05-01 04:45:00",4.2,"A",20.2,6.9,6.6,68.36
"02336120","2011-05-31 11:30:00",12,"A",23.3,6.9,6.6,73.94
"02336240","2011-05-12 09:15:00",11,"A",21.1,7.1,7,69.98
"02336240","2011-05-14 07:00:00",10,"A e",21.1,7.2,7.1,69.98
"02336240","2011-05-31 06:15:00",11,"A",23.4,7,6.8,74.12
"02336313","2011-05-02 08:45:00",1,"A",19.1,7,6.1,66.38
"02336728","2011-05-25 14:15:00",8.2,"A e",21.2,NA,8,70.16
"02336728","2011-05-21 06:00:00",9.7,"A",18.9,7.1,8,66.02
"02336240","2011-05-29 05:45:00",15,"A",21.6,NA,7.1,70.88
"02336526","2011-05-09 20:45:00",4.4,"A",24,8,11,75.2
"02336360","2011-05-08 17:45:00",13,"A",19,7.3,9,66.2
"02336240","2011-05-05 01:00:00",22,"A",16.9,7,8.2,62.42
"02336410","2011-05-26 10:45:00",11,"A",22.7,7.2,6.8,72.86
"02336300","2011-05-10 21:00:00",30,"A",25.4,7.3,8.8,77.72
"02336300","2011-05-08 03:00:00",33,"A",18.7,7.3,7.8,65.66
"02336728","2011-05-24 06:15:00",8.9,"A e",21.7,7.1,7.3,71.06
"02336313","2011-05-24 13:00:00",0.93,"A",20.8,7.1,6.8,69.44
"02336120","2011-05-24 13:45:00",11,"A",21.7,7.1,7.2,71.06
"02203700","2011-05-07 04:30:00",5.3,"A e",17.3,7,5.8,63.14
"02336313","2011-05-07 00:45:00",1.1,"A e",18.6,7.2,7.8,65.48
"02336526","2011-05-09 01:15:00",4.4,"A",21.9,7.6,8.4,71.42
"02336313","2011-05-24 16:00:00",0.98,"A",23.4,7.2,8.6,74.12
"02336728","2011-05-31 11:15:00",13,"A e",22.7,7,7.4,72.86
"02336300","2011-05-09 12:45:00",33,"A",18.7,7.3,7.6,65.66
"02336120","2011-05-17 08:15:00",13,"A",15.9,7.2,8.3,60.62
"02203700","2011-05-22 09:15:00",3.9,"A e",20,6.8,4.5,68
"02203655","2011-05-05 20:30:00",14,"A",16.8,7.1,8.3,62.24
"02203655","2011-05-07 06:30:00",12,"A e",17.1,7.2,7.5,62.78
"02336120","2011-05-05 05:30:00",30,"A",16.5,6.8,8.3,61.7
"02203700","2011-05-17 06:15:00",4.6,"A e",16,6.9,5.5,60.8
"02336360","2011-05-13 22:45:00",11,"A",23.4,7.3,8.5,74.12
"02336360","2011-05-08 18:45:00",13,"A e",19.6,7.3,NA,67.28
"02336120","2011-05-20 06:30:00",12,"A e",17.8,7.2,8.2,64.04
"02337170","2011-05-08 13:15:00",1540,"A",15.4,6.9,9.1,59.72
"02336240","2011-05-21 02:00:00",9.2,"A",20.4,7.2,7.4,68.72
"02336120","2011-05-03 23:30:00",39,"A",20.9,7,7.8,69.62
"02203655","2011-05-05 12:00:00",15,"A e",14.4,7.1,8.2,57.92
"02336300","2011-05-15 21:30:00",27,"A",19.1,7.6,8.7,66.38
"02337170","2011-05-26 05:45:00",1760,"A",20.2,7,8.6,68.36
"02336410","2011-05-03 17:45:00",20,"A",22,6.8,8.2,71.6
"02203700","2011-05-19 16:00:00",4,"A",16.8,7,8.4,62.24
"02336120","2011-05-19 05:00:00",13,"A",16.2,7.3,8.5,61.16
"02336240","2011-05-28 00:30:00",44,"A",21.9,6.9,7.5,71.42
"02337170","2011-05-18 08:00:00",3360,"A",13.5,7,10.1,56.3
"02203700","2011-05-13 01:30:00",4.4,"A",24.4,6.9,4.6,75.92
"02336313","2011-05-06 14:30:00",1.2,"A e",15.2,7.1,9.4,59.36
"02336728","2011-05-31 10:00:00",13,"A",22.8,7,7.3,73.04
"02336120","2011-05-02 11:30:00",16,"A",19.1,7,7.7,66.38
"02336120","2011-05-22 15:45:00",11,"A",21.1,7.2,7.8,69.98
"02336120","2011-05-21 02:30:00",12,"A",20.9,7,7.6,69.62
"02336240","2011-05-23 06:00:00",8.5,"A",21.8,7.1,6.7,71.24
"02203655","2011-05-19 06:30:00",8.8,"A",16,7,8.1,60.8
"02336313","2011-05-24 09:45:00",0.93,"A",21,7.1,5.7,69.8
"02336410","2011-05-27 01:45:00",147,"A",22.8,6.9,6.4,73.04
"02336410","2011-05-26 19:00:00",10,"A",24.8,7.5,8.2,76.64
"02336300","2011-05-12 19:30:00",27,"A",26,7.5,8.9,78.8
"02336120","2011-05-31 13:30:00",12,"A",23.3,7,6.9,73.94
"02336120","2011-05-22 17:45:00",11,"A e",22.2,7.3,8.1,71.96
"02336120","2011-05-21 18:30:00",12,"A",21.3,7.4,8.5,70.34
"02336526","2011-05-16 05:00:00",3.8,"A",17.7,7.5,NA,63.86
"02336120","2011-05-23 15:00:00",11,"A",21.7,7.2,7.5,71.06
"02336410","2011-05-06 15:45:00",25,"A e",15.6,7,9.1,60.08
"02336120","2011-05-17 21:45:00",14,"A",16.6,7.3,9.3,61.88
"02336313","2011-05-14 04:00:00",0.93,"A",22.2,7.2,6.6,71.96
"02336300","2011-05-18 14:00:00",27,"A",14.3,7.5,8.9,57.74
"02336360","2011-05-02 17:15:00",14,"A",20.6,7.2,8.8,69.08
"02336526","2011-05-11 21:45:00",3.8,"A",26,8.2,10.6,78.8
"02336360","2011-05-14 05:45:00",11,"A",21.9,7.1,6.9,71.42
"02337170","2011-05-23 08:15:00",1410,"A e",19.9,6.8,8.3,67.82
"02203655","2011-05-19 18:00:00",9.2,"A e",16.9,7.1,9.3,62.42
"02203655","2011-05-17 05:15:00",10,"A",16.8,7.1,8.1,62.24
"02203700","2011-05-13 22:30:00",4.4,"A",24.2,7.2,9.5,75.56
"02336526","2011-05-17 07:30:00",4.2,"A",16.3,7.3,7.7,61.34
"02336313","2011-05-05 08:15:00",1.3,"A e",14.2,6.9,7.7,57.56
"02203700","2011-05-21 09:45:00",4.6,"A",18.3,6.8,5.3,64.94
"02336410","2011-05-26 18:15:00",11,"A",24.3,7.4,8.5,75.74
"02336313","2011-05-23 17:00:00",0.98,"A",23.7,7.2,8.8,74.66
"02336300","2011-05-09 21:30:00",31,"A",23.9,7.3,8.6,75.02
"02336728","2011-05-25 03:30:00",8.6,"A",23,7.1,7.1,73.4
"02336728","2011-05-15 03:15:00",12,"A",20.5,7.2,7.6,68.9
"02336526","2011-05-28 02:30:00",17,"A e",22.4,6.9,7.2,72.32
"02203655","2011-05-28 18:00:00",18,"A",21.2,NA,7.3,70.16
"02336240","2011-05-14 04:00:00",10,"A",21.8,7.2,6.9,71.24
