"station_nm","site_no","agency_cd","timeZoneOffset","timeZoneAbbreviation","dec_lat_va","dec_lon_va","srs","siteTypeCd","hucCd","stateCd","countyCd","network"
"SOUTH RIVER AT FORREST PARK ROAD, AT ATLANTA, GA","02203655","USGS","-05:00","EST",33.67899706,-84.3579807,"EPSG:4326","ST","03070103","13","13121","NWIS"
"INTRENCHMENT CR AT CONSTITUTION RD, NR ATLANTA, GA","02203700","USGS","-05:00","EST",33.6889966,-84.3304798,"EPSG:4326","ST","03070103","13","13089","NWIS"
"N.F. PEACHTREE CREEK, BUFORD HWY, NEAR ATLANTA, GA","02336120","USGS","-05:00","EST",33.83149307,-84.342703,"EPSG:4326","ST","03130001","13","13089","NWIS"
"S.F. PEACHTREE CREEK JOHNSON RD, NEAR ATLANTA, GA","02336240","USGS","-05:00","EST",33.80288264,-84.3407585,"EPSG:4326","ST","03130001","13","13089","NWIS"
"PEACHTREE CREEK AT ATLANTA, GA","02336300","USGS","-05:00","EST",33.82030556,-84.40763889,"EPSG:4326","ST","03130001","13","13121","NWIS"
"WOODALL CREEK AT DEFOORS FERRY RD, AT ATLANTA, GA","02336313","USGS","-05:00","EST",33.8217716,-84.4388178,"EPSG:4326","ST","03130001","13","13121","NWIS"
"NANCY CREEK AT RICKENBACKER DRIVE, AT ATLANTA, GA","02336360","USGS","-05:00","EST",33.86916667,-84.37888889,"EPSG:4326","ST","03130001","13","13121","NWIS"
"NANCY CREEK AT WEST WESLEY ROAD, AT ATLANTA, GA","02336410","USGS","-05:00","EST",33.83843787,-84.4393734,"EPSG:4326","ST","03130001","13","13121","NWIS"
"PROCTOR CREEK AT JACKSON PARKWAY, AT ATLANTA, GA","02336526","USGS","-05:00","EST",33.79427255,-84.4743747,"EPSG:4326","ST","03130002","13","13121","NWIS"
"UTOY CREEK AT GREAT SOUTHWEST PKWY NR ATLANTA, GA","02336728","USGS","-05:00","EST",33.74344087,-84.5682657,"EPSG:4326","ST","03130002","13","13121","NWIS"
"CHATTAHOOCHEE RIVER NEAR FAIRBURN, GA","02337170","USGS","-05:00","EST",33.65666667,-84.6736111,"EPSG:4326","ST","03130002","13","13121","NWIS"
